symbol,timestamp,open,high,low,close,volume,trade_count,vwap,dollar_volume,prediction
PCG,2025-08-20 14:35:00-04:00,15.455,15.455,15.44,15.445,26674.0,140.0,15.449546,411979.93,0
PCG,2025-08-20 14:36:00-04:00,15.445,15.445,15.44,15.445,4758.0,51.0,15.442922,73487.31,0
PCG,2025-08-20 14:37:00-04:00,15.445,15.445,15.44,15.445,21736.0,54.0,15.444871,335712.52,0
PCG,2025-08-20 14:38:00-04:00,15.445,15.445,15.44,15.44,15947.0,35.0,15.440771,246221.68,0
PCG,2025-08-20 14:39:00-04:00,15.445,15.45,15.445,15.445,6073.0,39.0,15.445399,93797.485,0
PCG,2025-08-20 14:40:00-04:00,15.445,15.45,15.43,15.435,27848.0,174.0,15.439412,429833.88,0
PCG,2025-08-20 14:41:00-04:00,15.435,15.436,15.43,15.435,13485.0,70.0,15.434976,208140.975,0
PCG,2025-08-20 14:42:00-04:00,15.435,15.46,15.435,15.46,89224.0,222.0,15.447707,1379403.04,0
PCG,2025-08-20 14:43:00-04:00,15.455,15.47,15.455,15.47,19752.0,89.0,15.459026,305563.44,0
PCG,2025-08-20 14:44:00-04:00,15.47,15.48,15.465,15.465,28806.0,151.0,15.467785,445484.79,0
PCG,2025-08-20 14:45:00-04:00,15.465,15.47,15.455,15.455,18702.0,112.0,15.460358,289039.41,0
PCG,2025-08-20 14:46:00-04:00,15.455,15.47,15.455,15.465,22967.0,96.0,15.461367,355184.655,0
PCG,2025-08-20 14:47:00-04:00,15.465,15.47,15.465,15.465,20478.0,110.0,15.468821,316692.27,0
PCG,2025-08-20 14:48:00-04:00,15.4672,15.475,15.465,15.475,31155.0,98.0,15.468219,482123.625,0
PCG,2025-08-20 14:49:00-04:00,15.47,15.47,15.465,15.465,19040.0,67.0,15.469455,294453.6,0
PCG,2025-08-20 14:50:00-04:00,15.465,15.465,15.45,15.455,12581.0,82.0,15.45979,194439.355,0
PCG,2025-08-20 14:51:00-04:00,15.455,15.46,15.45,15.455,15467.0,69.0,15.454559,239042.485,0
PCG,2025-08-20 14:52:00-04:00,15.455,15.455,15.445,15.445,12207.0,114.0,15.44946,188537.115,0
PCG,2025-08-20 14:53:00-04:00,15.445,15.45,15.445,15.445,5909.0,54.0,15.445145,91264.505,0
PCG,2025-08-20 14:54:00-04:00,15.445,15.45,15.4413,15.445,5284.0,30.0,15.445116,81611.38,2
PCG,2025-08-20 14:55:00-04:00,15.445,15.455,15.44,15.45,30334.0,126.0,15.449204,468660.3,2
PCG,2025-08-20 14:56:00-04:00,15.44,15.445,15.43,15.43,34091.0,129.0,15.437468,526024.13,2
PCG,2025-08-20 14:57:00-04:00,15.43,15.44,15.43,15.435,11180.0,89.0,15.432557,172563.30000000002,2
PCG,2025-08-20 14:58:00-04:00,15.435,15.44,15.43,15.435,33584.0,110.0,15.435036,518369.04,2
PCG,2025-08-20 14:59:00-04:00,15.435,15.44,15.435,15.435,17159.0,86.0,15.435163,264849.16500000004,2
PCG,2025-08-20 15:00:00-04:00,15.435,15.45,15.435,15.44,34989.0,178.0,15.439645,540230.16,2
PCG,2025-08-20 15:01:00-04:00,15.435,15.435,15.425,15.425,25711.0,118.0,15.429387,396592.1750000001,2
PCG,2025-08-20 15:02:00-04:00,15.425,15.425,15.425,15.425,9721.0,37.0,15.425,149946.42500000002,2
PCG,2025-08-20 15:03:00-04:00,15.425,15.43,15.425,15.425,18068.0,68.0,15.42503,278698.9,2
PCG,2025-08-20 15:04:00-04:00,15.425,15.43,15.42,15.42,17606.0,94.0,15.423648,271484.52,2
PCG,2025-08-20 15:05:00-04:00,15.42,15.4272,15.42,15.425,10510.0,50.0,15.424044,162116.75,2
PCG,2025-08-20 15:06:00-04:00,15.43,15.44,15.425,15.435,79305.0,238.0,15.434599,1224072.675,2
PCG,2025-08-20 15:07:00-04:00,15.44,15.44,15.425,15.425,13296.0,90.0,15.431155,205090.8,2
PCG,2025-08-20 15:08:00-04:00,15.42,15.43,15.42,15.43,4949.0,36.0,15.424399,76363.06999999999,2
PCG,2025-08-20 15:09:00-04:00,15.43,15.45,15.425,15.445,62137.0,157.0,15.432653,959705.965,2
PCG,2025-08-20 15:10:00-04:00,15.445,15.45,15.445,15.445,6786.0,50.0,15.445454,104809.77,2
PCG,2025-08-20 15:11:00-04:00,15.45,15.45,15.445,15.45,41875.0,188.0,15.448503,646968.75,2
PCG,2025-08-20 15:12:00-04:00,15.445,15.45,15.445,15.45,2682.0,45.0,15.445422,41436.9,0
PCG,2025-08-20 15:13:00-04:00,15.445,15.445,15.44,15.44,6249.0,94.0,15.443818,96484.56,0
PCG,2025-08-20 15:14:00-04:00,15.44,15.45,15.44,15.445,31092.0,134.0,15.445848,480215.94,0
PCG,2025-08-20 15:15:00-04:00,15.445,15.46,15.445,15.45,51133.0,216.0,15.45005,790004.85,0
PCG,2025-08-20 15:16:00-04:00,15.455,15.46,15.435,15.435,121088.0,325.0,15.442046,1868993.28,0
PCG,2025-08-20 15:17:00-04:00,15.435,15.435,15.42,15.43,21901.0,99.0,15.429026,337932.43,2
PCG,2025-08-20 15:18:00-04:00,15.425,15.43,15.42,15.425,6483.0,63.0,15.424285,100000.275,2
PCG,2025-08-20 15:19:00-04:00,15.425,15.43,15.42,15.42,9831.0,50.0,15.423269,151594.02,2
PCG,2025-08-20 15:20:00-04:00,15.425,15.425,15.42,15.42,12259.0,89.0,15.421454,189033.78,2
PCG,2025-08-20 15:21:00-04:00,15.42,15.4279,15.42,15.425,8174.0,62.0,15.421495,126083.95,2
PCG,2025-08-20 15:22:00-04:00,15.425,15.43,15.41,15.42,37844.0,192.0,15.420914,583554.48,2
PCG,2025-08-20 15:23:00-04:00,15.415,15.43,15.405,15.425,96704.0,344.0,15.412556,1491659.2,2
PCG,2025-08-20 15:24:00-04:00,15.425,15.435,15.42,15.425,58052.0,235.0,15.430181,895452.1000000001,0
PCG,2025-08-20 15:25:00-04:00,15.425,15.43,15.42,15.425,12401.0,63.0,15.42512,191285.425,0
